keyword,total_count,theme_code,category_code,secondary_category_code
accessibility,194,general,,
assistive technology,90,general,,
blind,58,human,blind and low vision,
visual impairment,46,human,blind and low vision,
blindness,31,human,blind and low vision,
visually impaired,31,human,blind and low vision,
older adults,31,human,older adults,
web accessibility,31,technology,web,
visual impairments,27,human,blind and low vision,
blind users,24,human,blind and low vision,
autism,23,human,neurodiversity and/or autism,
disability,22,general,,
design,21,method,design,
evaluation,21,method,evaluation,
low vision,20,human,blind and low vision,
american sign language,20,human,deaf and hard of hearing,
participatory design,19,method,participatory/co-design,
children,18,human,children,
aphasia,17,human,cognitive impairment,
3d printing,17,technology,3d printing/diy/fab,
usability,16,method,usability,
augmented reality,16,technology,AR/MR/VR,
mobile devices,15,technology,mobile,
crowdsourcing,14,method,crowdsourcing,
mobile,14,technology,mobile,
screen reader,14,technology,screen readers,
deaf,13,human,deaf and hard of hearing,
navigation,13,other,,
social media,13,technology,social computing,
human-computer interaction,12,general,,
speech recognition,12,technology,speech/voice,
vision impairment,11,human,blind and low vision,
sign language,11,human,deaf and hard of hearing,
motor impairments,11,human,motor/physical,
user study,11,method,user study,
wayfinding,11,other,,
inclusion,10,general,,
assistive technologies,10,general,,
visually impaired users,10,human,blind and low vision,
education,10,other,,
braille,10,other,,
tactile graphics,10,technology,tactile,
text entry,10,technology,text entry,
communication,9,other,,
collaboration,9,technology,collaboration,
computer vision,9,technology,computer vision,
eye tracking,9,technology,eye tracking,
mobile computing,9,technology,mobile,
touch screens,9,technology,touch interaction,
touchscreen,9,technology,touch interaction,
wearable computing,9,technology,wearable computing,
dyslexia,8,human,cognitive impairment,
dementia,8,human,cognitive impairment,
mobility,8,human,motor/physical,
motor impairment,8,human,motor/physical,
aac,8,technology,AAC,
animation,8,technology,animation,
virtual reality,8,technology,AR/MR/VR,
haptic,8,technology,haptics,
automatic speech recognition,8,technology,speech/voice,
world wide web,8,technology,web,
universal design,7,general,,
disabilities,7,general,,
universal access,7,general,,
cognitive impairment,7,human,cognitive impairment,
deaf and hard of hearing,7,human,deaf and hard of hearing,
feedback,7,other,,
audio feedback,7,technology,auditory,
games,7,technology,games,
mouse,7,technology,input-pointing/mouse/cursor,
mobile phones,7,technology,mobile,
sonification,7,technology,sonification,
target acquisition,7,technology,target acquisition,
user interface,7,technology,user interfaces,
health,6,domain,,
user-centered design,6,general,,
cognitive disabilities,6,human,cognitive impairment,
accessibility technology for people who are deaf,6,human,deaf and hard of hearing,
orientation and mobility,6,issue,,
ethnography,6,method,ethnography,
inclusive design,6,method,inclusive design,
user studies,6,method,user study,
privacy,6,other,,
fitts' law,6,other,,
augmentative and alternative communication (aac),6,technology,AAC,
gestures,6,technology,gestures,
haptics,6,technology,haptics,
input devices,6,technology,input-general/unclear,
smartphone,6,technology,mobile,
text input,6,technology,text entry,
ubiquitous computing,6,technology,ubiquitous computing,
user interfaces,6,technology,user interfaces,
virtual environments,6,technology,virtual environments,
wearable,6,technology,wearable computing,
speech,6,unclear,,
guidelines,5,contribution,,
photography,5,domain,,
human factors,5,general,,
hci,5,general,,
cognitive disability,5,human,cognitive impairment,
asl,5,human,deaf and hard of hearing,
deaf community,5,human,deaf and hard of hearing,
literacy,5,human,literacy,
parkinson's disease,5,human,motor/physical,
autism spectrum disorder,5,human,neurodiversity and/or autism,
elderly,5,human,older adults,
indoor navigation,5,issue,,
blind navigation,5,issue,,
co-design,5,method,participatory/co-design,
rehabilitation,5,other,,
audio,5,technology,auditory,
video games,5,technology,games,
human computation,5,technology,human computation,
interaction techniques,5,technology,interaction techniques,
screen readers,5,technology,screen readers,
synthetic speech,5,technology,speech/voice,
text-entry,5,technology,text entry,
video compression,5,technology,video,
visualization,5,technology,visualization,
wearables,5,technology,wearable computing,
www,5,technology,web,
web,5,technology,web,
photo sharing,4,domain,,
home,4,domain,,
drawing,4,domain,,
mathematics,4,domain,,
disability access,4,general,,
access technology,4,general,,
colour vision deficiency,4,human,color vision,
hearing loss,4,human,deaf and hard of hearing,
hard of hearing,4,human,deaf and hard of hearing,
deaf and hard of hearing users,4,human,deaf and hard of hearing,
intellectual disability,4,human,intellectual/developmental disability,
motor disabilities,4,human,motor/physical,
social skills,4,issue,,
readability,4,issue,,
field study,4,method,field study,
user experience,4,method,user experience,
non-visual,4,other,,
empathy,4,other,,
universal usability,4,other,universal usability,
digital fabrication,4,technology,3d printing/diy/fab,
diy,4,technology,3d printing/diy/fab,
alt text,4,technology,alt text,
cursor control,4,technology,input-pointing/mouse/cursor,
exergames,4,technology,games,
gesture recognition,4,technology,gestures,
haptic feedback,4,technology,haptics,
html,4,technology,web,
human-robot interaction,4,technology,human-robot interaction,
input,4,technology,input-general/unclear,
keyboard,4,technology,input-keyboard,
smartphones,4,technology,mobile,
mobile accessibility,4,technology,mobile,
mobile technology,4,technology,mobile,
multimodal,4,technology,multimodal,
natural language generation,4,technology,natural language generation,
obstacle avoidance,4,technology,navigation/orientation,
non-visual interaction,4,technology,non-visual interaction,
rapid prototyping,4,technology,3d printing/diy/fab,
scanning,4,technology,scanning,
sound visualization,4,technology,sound visualization,
tangible user interfaces,4,technology,tangible user interfaces,
touchscreens,4,technology,touch interaction,
transcoding,4,technology,transcoding,
virtual worlds,4,technology,virtual worlds,
web browser,4,technology,web,
power wheelchair,4,technology,wheelchair,
